Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
1,-1,3,754761,13,0
3,-1,4,252595,16,0
2,-1,4,497145,17,0
3,0,4,127284,16,1
1,0,3,726546,13,3
2,0,4,275742,17,3
3,1,4,086222,16,3
2,1,4,203965,16,1
2,2,4,007255,16,1
3,2,3,756405,16,2
2,3,3,930094,15,4
1,1,3,676596,13,9
3,3,3,707929,16,5
2,4,3,874764,15,2
1,2,3,461154,13,3
3,4,3,665655,16,5
3,5,3,589072,16,1
2,5,3,826403,14,6
2,6,3,792737,14,1
2,7,3,451625,14,5
1,3,3,389842,12,16
1,4,3,317911,11,2
1,5,3,268225,11,2
2,8,3,406830,14,10
2,9,3,233675,14,1
2,10,3,143482,13,1
1,6,3,260435,10,5
1,7,3,259601,10,16
3,6,3,567674,16,31
2,11,3,075512,12,15
3,7,3,560233,15,2
3,8,3,551568,14,1
3,9,3,548542,13,2
1,8,3,250535,9,11
2,12,3,004993,12,9
2,13,2,990739,11,8
3,10,3,504413,13,13
3,11,3,501492,12,1
3,12,3,498690,11,5
2,14,2,976289,10,12
3,13,3,458481,11,13
2,15,2,964829,9,12
3,14,3,311331,10,8
3,15,3,299248,9,2
3,16,3,244137,9,2
3,17,3,232054,8,2
2,16,2,873016,8,13
1,9,3,250535,9,58
3,18,3,216467,8,5
3,19,3,153375,7,6
3,20,3,090367,6,14
3,21,2,898888,6,11
3,22,2,880749,6,2
3,23,2,880749,6,69
2,17,2,873016,8,81
